time,Qrouted
2071-01-01,6.780538009878165
2071-01-02,6.163464315898189
2071-01-03,6.3913335190601055
2071-01-04,6.424213066538819
2071-01-05,6.943988497150488
2071-01-06,6.78967918456615
2071-01-07,6.841652288776764
2071-01-08,7.203815882759972
2071-01-09,7.071061549098078
2071-01-10,6.512938287091953
2071-01-11,6.000758120005972
2071-01-12,5.5721069899590185
2071-01-13,5.206365486423489
2071-01-14,4.897414782574857
2071-01-15,4.635437767415995
2071-01-16,4.412353264511588
2071-01-17,4.221502987733462
2071-01-18,4.057396550452184
2071-01-19,4.624417272800767
2071-01-20,4.704305931905043
2071-01-21,5.733625539316193
2071-01-22,8.069161137448774
2071-01-23,10.15753115369103
2071-01-24,10.357677980951946
2071-01-25,9.57260197408475
2071-01-26,8.94241761057008
2071-01-27,8.518177257437602
2071-01-28,7.8855827458633465
2071-01-29,7.237358593003484
2071-01-30,6.706094344789837
2071-01-31,6.566164179237254
2071-02-01,7.280806668605114
2071-02-02,7.379549202061465
2071-02-03,6.905144424079894
2071-02-04,6.430140980746548
2071-02-05,6.043379728998549
2071-02-06,5.715785933758325
2071-02-07,5.437136824135692
2071-02-08,5.199017519336359
2071-02-09,4.994495529461896
2071-02-10,4.817854948366283
2071-02-11,4.664379178433099
2071-02-12,4.530173156574715
2071-02-13,4.4120177650244985
2071-02-14,4.557481095762956
2071-02-15,4.967437226547638
2071-02-16,4.8243353080092435
2071-02-17,4.736273840134559
2071-02-18,4.671398488742457
2071-02-19,4.653909067744775
2071-02-20,4.636000057969091
2071-02-21,4.722587967136662
2071-02-22,5.215319922643857
2071-02-23,6.7873883742339745
2071-02-24,7.653436947564729
2071-02-25,7.398409985150583
2071-02-26,6.845641886984872
2071-02-27,6.369488685220911
2071-02-28,5.9752119470637055
2071-03-01,5.881981778768129
2071-03-02,5.982610091713653
2071-03-03,5.700051843920069
2071-03-04,5.397637651382833
2071-03-05,5.1519969297707915
2071-03-06,4.941409567539087
2071-03-07,4.779583860312469
2071-03-08,4.752212679499024
2071-03-09,4.714032659135413
