time,Qrouted
2071-01-01,2.5312260813808405
2071-01-02,2.29116954866666
2071-01-03,2.099968512462127
2071-01-04,1.946376041861936
2071-01-05,1.821920632461446
2071-01-06,1.7201760823192258
2071-01-07,1.6362353514280963
2071-01-08,1.5663281169127072
2071-01-09,1.556097120317018
2071-01-10,2.6621753221076268
2071-01-11,4.671582584388913
2071-01-12,5.578098421110252
2071-01-13,5.112302841909645
2071-01-14,4.394424362588874
2071-01-15,5.12284696278532
2071-01-16,5.971939270787867
2071-01-17,5.292500872783349
2071-01-18,4.443360771440784
2071-01-19,3.81252956199044
2071-01-20,3.3518350917948116
2071-01-21,2.9654263693027336
2071-01-22,2.6499648821883555
2071-01-23,2.401008406824576
2071-01-24,2.2028348736050964
2071-01-25,2.0437087957720133
2071-01-26,2.3060613371724537
2071-01-27,2.371806336776855
2071-01-28,2.1757550854350147
2071-01-29,2.0182973364507686
2071-01-30,1.8907215540283913
2071-01-31,1.7864225109943614
2071-02-01,1.7003603808571104
2071-02-02,1.6286655987705736
2071-02-03,1.568457489940912
2071-02-04,1.5174399601514477
2071-02-05,1.473466956237823
2071-02-06,1.435215423641246
2071-02-07,1.9921158702038284
2071-02-08,2.6583347943943036
2071-02-09,3.82272635379778
2071-02-10,5.253463731616292
2071-02-11,5.176049579037444
2071-02-12,4.339709169534183
2071-02-13,3.7025231513817336
2071-02-14,3.2400005802979823
2071-02-15,2.892506365125261
2071-02-16,2.581670513529686
2071-02-17,2.336042746100949
2071-02-18,2.2824175165421043
2071-02-19,2.3256699952912174
2071-02-20,2.1775966870054417
2071-02-21,2.011804738758603
2071-02-22,1.8782355689192676
2071-02-23,1.8715254153842025
2071-02-24,1.8966436105745232
2071-02-25,2.6634158505448773
2071-02-26,4.578906705364015
2071-02-27,7.8039234137476186
2071-02-28,9.290210104859488
2071-03-01,7.982136032651869
2071-03-02,6.489429774752591
2071-03-03,5.501747092379147
2071-03-04,4.744513390757789
2071-03-05,5.144832349993508
2071-03-06,5.400883031615756
2071-03-07,4.552812738443971
2071-03-08,3.906837886167846
2071-03-09,3.409133978298042
2071-03-10,3.0221879341555877
2071-03-11,2.7186768570211117
2071-03-12,2.4785117545895106
2071-03-13,2.2867929231149247
2071-03-14,2.1323795298030914
2071-03-15,2.0068781707827577
2071-03-16,1.9039205576299807
2071-03-17,1.8186428877750764
2071-03-18,1.7473073232647651
2071-03-19,1.7200337682281708
2071-03-20,1.9509378292471522
2071-03-21,2.4389642029440237
2071-03-22,2.4690370579686456
2071-03-23,2.285419375656891
2071-03-24,2.135992159637202
2071-03-25,1.9954101522988503
2071-03-26,2.359240897343892
2071-03-27,2.7568699076744765
2071-03-28,2.879808973945703
2071-03-29,3.2595514183483743
2071-03-30,3.180533562929947
2071-03-31,2.8187497021816195
2071-04-01,2.5358700045375637
2071-04-02,2.311727442792662
2071-04-03,2.3486697267956758
2071-04-04,2.429588805130911
2071-04-05,2.2292377213229666
2071-04-06,2.0916451029586214
2071-04-07,1.9819958708643688
2071-04-08,1.8638264846529042
2071-04-09,1.7664609907889979
2071-04-10,1.6858291486730803
2071-04-11,1.6184177608576513
2071-04-12,1.5813079272472166
2071-04-13,1.5592531668721428
2071-04-14,1.514971544761207
2071-04-15,1.4711486907260491
2071-04-16,1.4331132498334302
2071-04-17,1.3997545381345404
2071-04-18,1.370190866797336
2071-04-19,1.34372118315534
2071-04-20,1.3197858240654206
2071-04-21,1.2979362884638772
2071-04-22,1.2778118415758317
2071-04-23,1.3377983908155822
2071-04-24,1.5950763132787478
2071-04-25,1.7404249594849546
2071-04-26,1.7213415553266345
2071-04-27,1.72534138783435
2071-04-28,1.6326140731383114
2071-04-29,1.9578010874594325
2071-04-30,2.1554587132665115
2071-05-01,1.959868362205884
2071-05-02,1.8072303588741454
2071-05-03,1.6838035145778072
2071-05-04,1.5831458343097287
2071-05-05,1.5003369190352291
2071-05-06,1.431595368100566
2071-05-07,1.3739982506727804
2071-05-08,1.3253378542048153
2071-05-09,1.2837364625053593
2071-05-10,1.247800033929086
2071-05-11,1.2260454265909988
2071-05-12,1.5195304957231457
2071-05-13,1.650552574653509
2071-05-14,1.5365567691500435
2071-05-15,1.4491519511586235
2071-05-16,1.376924263898544
2071-05-17,1.3167028959025242
2071-05-18,1.2660264424064023
2071-05-19,1.222974298090825
2071-05-20,1.1860404992797602
2071-05-21,1.1540387290066874
2071-05-22,1.1345820650672074
2071-05-23,1.1679917333777212
2071-05-24,1.3114337447940663
2071-05-25,1.3548897928815269
2071-05-26,1.347590194472233
2071-05-27,1.357606972840147
2071-05-28,1.3158427512360371
2071-05-29,1.2521478016592313
2071-05-30,1.200897878670816
2071-05-31,1.1630116711524965
2071-06-01,1.12818041057786
2071-06-02,1.2060372966685666
2071-06-03,1.2771570464455746
2071-06-04,1.2082052356080577
2071-06-05,1.156072203252149
2071-06-06,1.1120976833739964
2071-06-07,1.0746576373407704
2071-06-08,1.0424747246434152
