time,Qrouted
2071-01-01,120.78209125764887
2071-01-02,160.68521006747457
2071-01-03,215.03032167296388
2071-01-04,155.65455723433152
2071-01-05,113.38706204318571
2071-01-06,98.99494306416234
2071-01-07,76.371846648031
2071-01-08,61.35587222406382
2071-01-09,57.28472636613757
2071-01-10,59.94108758010342
2071-01-11,49.715144949233576
2071-01-12,41.72783600374732
2071-01-13,39.11791202005909
2071-01-14,54.466653179267574
2071-01-15,73.47744869699821
2071-01-16,65.72749724854746
2071-01-17,53.937367006135766
2071-01-18,45.99214771792406
2071-01-19,41.20119663375589
2071-01-20,35.56368686545455
2071-01-21,31.201678508835702
2071-01-22,27.853819351630875
2071-01-23,25.25903820167675
2071-01-24,23.228157447091252
2071-01-25,21.62282413528909
2071-01-26,20.340984129718922
2071-01-27,19.30675492824138
2071-01-28,18.495687043495725
2071-01-29,19.604380886500092
2071-01-30,22.284749417886584
2071-01-31,24.912917051310146
2071-02-01,30.102906970240287
2071-02-02,33.19970762595757
2071-02-03,33.11639541349359
2071-02-04,32.131270209540254
2071-02-05,41.4220237659229
2071-02-06,55.068542248974126
2071-02-07,60.283403728285414
2071-02-08,62.92525898939767
2071-02-09,68.73193537177144
2071-02-10,81.03504967340147
2071-02-11,72.32704360718195
2071-02-12,68.01485234187176
2071-02-13,67.94028807619146
2071-02-14,61.44192255554501
2071-02-15,51.64038657905355
2071-02-16,43.69943440612789
2071-02-17,37.584038566611845
2071-02-18,32.94340536986462
2071-02-19,29.38716436768898
2071-02-20,26.634852162821115
2071-02-21,24.489085138384606
2071-02-22,22.933348505018888
2071-02-23,21.741512600301263
2071-02-24,20.586179733717476
2071-02-25,20.104407113270256
2071-02-26,20.190421877787305
2071-02-27,19.336293821504878
2071-02-28,18.713276447039203
2071-03-01,22.077846144831422
2071-03-02,31.808481324472435
2071-03-03,36.044492029891614
2071-03-04,34.34089312903422
2071-03-05,33.78545295169431
2071-03-06,46.62898193064442
2071-03-07,67.95264115740862
2071-03-08,71.59510778565989
2071-03-09,68.92413803492649
2071-03-10,66.98281562386133
2071-03-11,67.83384117314449
2071-03-12,58.98248617892792
2071-03-13,51.03140512618206
2071-03-14,43.20027480781269
2071-03-15,37.23516049464462
2071-03-16,39.32298379725342
2071-03-17,57.24793816753043
2071-03-18,69.48340685379166
2071-03-19,61.714832339970066
2071-03-20,51.34870006990644
2071-03-21,43.47067586238824
2071-03-22,37.549077067575546
2071-03-23,33.051502598869774
2071-03-24,29.60067995890535
2071-03-25,26.926321111271225
2071-03-26,24.832819161056083
2071-03-27,23.177284688724978
2071-03-28,21.854428536731106
2071-03-29,20.786038438137115
2071-03-30,19.913576065552814
2071-03-31,19.192917956475068
2071-04-01,18.59058511100164
2071-04-02,18.081016609394293
2071-04-03,17.64458224892416
2071-04-04,17.29456762272721
2071-04-05,16.979245827292946
2071-04-06,19.695716894309964
2071-04-07,25.334254058838038
2071-04-08,23.542029494017914
2071-04-09,21.86518303810872
2071-04-10,20.529722080052064
2071-04-11,19.45505895651141
2071-04-12,18.5809567041858
2071-04-13,17.862066616944194
2071-04-14,17.264018737220272
2071-04-15,17.232156134212072
2071-04-16,17.5208097429322
2071-04-17,16.981656190328547
2071-04-18,16.47337371940775
2071-04-19,17.31502925259181
2071-04-20,19.08732219088794
2071-04-21,18.227569795719372
2071-04-22,17.40112521747541
2071-04-23,16.721312046633194
2071-04-24,16.155789969796533
2071-04-25,15.679859833249084
2071-04-26,15.274547669270897
2071-04-27,15.324862709865911
2071-04-28,15.877845309963524
2071-04-29,15.661897100381191
2071-04-30,16.794503262528135
2071-05-01,18.948088344123747
2071-05-02,18.613142208550705
2071-05-03,19.934473663389316
2071-05-04,23.27594786430642
2071-05-05,26.729437047433965
2071-05-06,24.16763157315317
2071-05-07,35.14732597199843
2071-05-08,54.984609287339254
2071-05-09,48.29713129091345
2071-05-10,53.58496138873529
2071-05-11,66.18428678275272
2071-05-12,69.71356230025393
2071-05-13,67.94637820293481
2071-05-14,69.8449501136705
2071-05-15,75.61211446243534
2071-05-16,65.16056609629204
2071-05-17,58.59662841749082
2071-05-18,48.667166512096145
2071-05-19,40.925274426295886
2071-05-20,35.18691898503468
2071-05-21,32.234827261532494
2071-05-22,30.7323885652437
2071-05-23,27.54352306802974
2071-05-24,24.865176872630013
2071-05-25,22.773127635088812
2071-05-26,21.757126892569335
2071-05-27,21.89791940220331
2071-05-28,22.32785060096819
2071-05-29,22.223477506201917
2071-05-30,20.720865405375097
2071-05-31,19.43623475173219
2071-06-01,18.40235061292033
2071-06-02,17.56154016836363
2071-06-03,17.072588531627865
2071-06-04,21.13402068811519
2071-06-05,27.380321030386327
2071-06-06,24.872790858840926
2071-06-07,22.587186638852007
2071-06-08,21.063175179497588
2071-06-09,19.948714277232988
2071-06-10,18.7178280922293
2071-06-11,17.70247842412243
2071-06-12,16.87732993607509
2071-06-13,16.19958058057314
2071-06-14,15.770105470138077
2071-06-15,15.415261630160344
2071-06-16,14.97636466925855
2071-06-17,14.59227987632894
2071-06-18,14.260965413820946
2071-06-19,13.971731090441082
2071-06-20,13.716224966894716
2071-06-21,13.487891848976908
2071-06-22,13.28156419240449
2071-06-23,13.093151315556822
2071-06-24,12.919402043772235
2071-06-25,14.16025106960989
2071-06-26,18.034064562650336
2071-06-27,21.460706242984866
2071-06-28,23.856661079641228
2071-06-29,21.67716985859428
2071-06-30,19.6987740088246
2071-07-01,18.16951638035513
2071-07-02,20.745317557770605
2071-07-03,25.612787840206323
2071-07-04,23.22864786856181
2071-07-05,21.231146452378855
