time,Qrouted
1980-01-01,8.37766978344624
1980-02-01,9.953819197172507
1980-03-01,3.568974923403548
1980-04-01,2.3209521234902923
1980-05-01,3.0085697965528655
1980-06-01,2.8001304621661114
1980-07-01,2.171386600421883
1980-08-01,1.980955659322527
1980-09-01,1.6422761591306905
1980-10-01,3.614637454878367
1980-11-01,3.952488495762012
1980-12-01,5.660098593077697
1981-01-01,9.574091703142804
1981-02-01,10.848147003501825
1981-03-01,13.938407534019943
1981-04-01,4.434496446316843
1981-05-01,4.093112641102095
1981-06-01,2.54847681310703
1981-07-01,2.8123514919745114
1981-08-01,1.7345054319094473
1981-09-01,1.6652480206994595
1981-10-01,3.5661261451081647
1981-11-01,5.171636640585498
1981-12-01,8.587004242644506
1982-01-01,6.768719616670953
1982-02-01,6.513059269997699
1982-03-01,3.1193935839933165
1982-04-01,2.9119195196269736
1982-05-01,3.89812057433778
1982-06-01,1.9261737133255517
1982-07-01,1.5849545530587916
1982-08-01,1.455862570703525
1982-09-01,3.8045710696370287
1982-10-01,1.8199032363856067
1982-11-01,3.431836894382982
1982-12-01,2.869662446089868
1983-01-01,4.093668188442285
1983-02-01,5.258808061603135
1983-03-01,6.894275314434808
1983-04-01,2.5341208782849165
1983-05-01,2.8292299718382896
1983-06-01,1.6096984166244508
1983-07-01,1.476549066679102
1983-08-01,4.374019260102665
1983-09-01,2.2921355663884126
1983-10-01,3.6812687365004244
1983-11-01,3.717417708479344
1983-12-01,7.8823006598335095
1984-01-01,12.973533268204829
1984-02-01,3.76452750211331
1984-03-01,9.985750728710672
1984-04-01,6.693092271569217
1984-05-01,3.924617766813097
1984-06-01,4.058040963392874
1984-07-01,3.259046948258747
1984-08-01,2.21893217349551
1984-09-01,1.5744253406872835
1984-10-01,1.8437175124397536
1984-11-01,2.057726756536513
1984-12-01,4.141974637205511
1985-01-01,2.1822486562599153
1985-02-01,2.2261291874989104
1985-03-01,4.939026595270488
1985-04-01,2.3630996435750373
1985-05-01,4.436539974449413
1985-06-01,2.0502902330316966
1985-07-01,1.6649702421186299
1985-08-01,1.5084838111445404
1985-09-01,2.1282094383314853
1985-10-01,1.3867944571436366
1985-11-01,3.2114932714605158
1985-12-01,4.921984211575938
1986-01-01,10.331445408222116
1986-02-01,7.452663048204109
1986-03-01,4.720748860949955
1986-04-01,3.139456666600146
1986-05-01,3.4401082465807913
1986-06-01,2.0187148989567336
1986-07-01,2.6369041057636733
1986-08-01,4.370374754544332
1986-09-01,3.5665549286669442
1986-10-01,2.538410411222244
1986-11-01,5.424149309679711
1986-12-01,4.459298358304645
1987-01-01,6.17256082135388
1987-02-01,9.53478060917008
1987-03-01,9.30055655253768
1987-04-01,4.905863110403956
1987-05-01,2.981472253176797
1987-06-01,2.127265324008341
1987-07-01,1.7936049128025255
1987-08-01,1.4289265801911075
1987-09-01,1.3047854764264306
1987-10-01,1.37565963493814
1987-11-01,1.356404369927349
1987-12-01,1.510313127218185
1988-01-01,3.405056035538928
1988-02-01,7.817048343937408
1988-03-01,6.536392617809056
1988-04-01,2.3338055865913527
1988-05-01,2.6323080705059354
1988-06-01,3.3158759859419242
1988-07-01,1.7804227005024473
1988-08-01,1.4069666201151043
1988-09-01,1.6584916891897694
1988-10-01,3.028885355288506
1988-11-01,2.828130028926949
1988-12-01,2.8634008907089687
1989-01-01,2.293876354740001
1989-02-01,1.8978016626690921
1989-03-01,3.3428351511804086
1989-04-01,2.218146255678783
1989-05-01,1.4846228447768959
1989-06-01,1.2107249243237197
1989-07-01,2.217711203555465
1989-08-01,0.9471274209128612
1989-09-01,0.7604941761274762
1989-10-01,0.6684233334889181
1989-11-01,1.2103726319710866
1989-12-01,3.2940044575933225
1990-01-01,5.706583948856474
1990-02-01,3.0063625113296872
1990-03-01,7.099191037424604
1990-04-01,3.819120995032759
1990-05-01,4.557298553550896
1990-06-01,3.2825946207027688
1990-07-01,2.2864242480743693
1990-08-01,1.576537234878917
1990-09-01,1.4687466293552616
1990-10-01,2.2200367874961398
1990-11-01,5.372362012934339
1990-12-01,5.537344825967878
1991-01-01,8.040689733378166
1991-02-01,3.4229609768382483
1991-03-01,3.5721488364763085
1991-04-01,2.6108633776502863
1991-05-01,1.880226590909606
1991-06-01,3.6925034927751876
1991-07-01,2.0571874994526014
1991-08-01,1.260131076246319
1991-09-01,1.0937065998388202
1991-10-01,1.5076878683350459
1991-11-01,3.213133361098948
1991-12-01,3.3615150351058736
1992-01-01,3.978039189678652
1992-02-01,5.245700910950228
1992-03-01,4.696541918678554
1992-04-01,4.2137225095695605
1992-05-01,2.194429146764312
1992-06-01,2.752159761803087
1992-07-01,2.368133690087832
1992-08-01,2.1749522207124916
1992-09-01,1.7599381186313818
1992-10-01,2.8615444667877825
1992-11-01,2.507979433054259
1992-12-01,5.8534556077929505
1993-01-01,2.2885902986404245
1993-02-01,4.399992494247316
1993-03-01,4.3025162820455956
1993-04-01,4.978494144976129
1993-05-01,2.1353129471091252
1993-06-01,2.3198120229949595
1993-07-01,1.6398984727567456
1993-08-01,1.4231868759329178
1993-09-01,1.2837447924781564
1993-10-01,1.3945827956842385
1993-11-01,3.075394710587901
1993-12-01,3.294521211917717
1994-01-01,4.416829283847839
1994-02-01,4.574673387381798
1994-03-01,8.010664514515906
1994-04-01,3.1911382418081433
1994-05-01,3.8727665455261984
1994-06-01,2.00549552777722
1994-07-01,2.5616161732203624
1994-08-01,3.1832483998839867
1994-09-01,3.4967631129146057
1994-10-01,3.688689315118709
1994-11-01,3.1368746167876074
1994-12-01,5.045631828977351
