,station,q50_model,q90_model,q50_obs,q90_obs,model
0,Aarschot Afwaarts_Demer,13.794631789141304,6.255145325246418,13.673709677419355,7.585932258064516,GFDL-ESM4
1,Aartselaar_Benedenvliet,0.3618693588135724,0.18817882711894565,0.6395483870967742,0.3037962365591398,GFDL-ESM4
2,Aiseau,0.7474637994621585,0.3708076044869825,0.5156129032258066,0.1702774193548387,GFDL-ESM4
3,AMAY,134.85745870832122,63.91713235278024,151.01885215053764,56.93563870967742,GFDL-ESM4
4,Amberloup,3.1227637133916333,1.4447525728954576,1.442451612903226,0.3680967741935484,GFDL-ESM4
5,Ambresin,1.663130720577846,0.6725399111137336,1.1521612903225806,0.47080473118279564,GFDL-ESM4
6,Amougies,1.4245617242515989,0.5737671316363016,0.8593548387096774,0.2846555299539171,GFDL-ESM4
7,ANGLEUR (2 BIS),56.48342538112564,29.527062934991875,44.278668279569885,15.438199139784945,GFDL-ESM4
8,Aublain,1.5626711681548175,0.7236993342284088,0.9886505376344086,0.3698322580645161,GFDL-ESM4
9,Auby-sur-Semois,1.3730045999718041,0.673027516503554,1.6386467741935486,0.26006000000000007,GFDL-ESM4
10,Baillonville,0.7573582414297959,0.378533883335091,0.4870322580645161,0.08853612903225808,GFDL-ESM4
11,Beaumont,0.8148875487839602,0.39011253124098627,0.5800758064516129,0.16183,GFDL-ESM4
12,BELLEHEID,0.48198870488780277,0.2778471043291724,0.44714516129032267,0.10190967741935483,GFDL-ESM4
13,BERSILLIES-L'ABBAYE,0.7168431813911333,0.3411537157788279,0.5454516129032259,0.1750967741935484,GFDL-ESM4
14,Biesme-sous-Thuin,0.6279152333934148,0.2965766223383676,0.4691413978494624,0.22893333333333338,GFDL-ESM4
15,Bilzen_Demer,0.4821387612176452,0.21174739210626578,0.5150322580645161,0.23365967741935487,GFDL-ESM4
16,BOUILLON,14.424479612119786,7.486689782047429,13.057483870967742,3.8155451612903226,GFDL-ESM4
17,Brizy,1.3650288956519212,0.6574380787892122,0.9653870967741937,0.22684043010752689,GFDL-ESM4
18,Brugelette,1.0307745645700843,0.4784715338262583,0.5745806451612903,0.2805776344086021,GFDL-ESM4
19,BRULY,0.4536562601679509,0.20721308759967824,0.4856779569892473,0.14209655913978497,GFDL-ESM4
20,BULLINGEN,0.566027136979123,0.3040344071613313,0.38170967741935496,0.09187333333333333,GFDL-ESM4
